metric	from	term	estimate	std.error	statistic	p.value	conf.low	conf.high	p.value.format	p.term
OS	HSCT	Time to Relapse	0.7725452311503554	0.09346016142028511	-2.761226990748168	0.005758463839788975	0.6432362070499613	0.9278490974728348	0.006	HR = 0.77 (95% CI 0.64 - 0.93), P = 0.006
PFS	HSCT	Time to Relapse	0.7493654119643003	0.08642955307537353	-3.3383089201033935	8.428998135407398e-4	0.6325934266185321	0.8876926269217332	0.001	HR = 0.75 (95% CI 0.63 - 0.89), P = 0.001
OS	Progression	Time to Relapse	0.7201550899632906	0.07222015318101731	-4.545665897692516	5.4761843952396294e-6	0.6251037852485832	0.8296595954762865	<0.001	HR = 0.72 (95% CI 0.63 - 0.83), P = <0.001
PFS	Progression	Time to Relapse	0.6978749289524852	0.0688096026627424	-5.227691531953741	1.7163955662754199e-7	0.6098271514990329	0.7986351792688399	<0.001	HR = 0.7 (95% CI 0.61 - 0.8), P = <0.001
