time_point	mutation_type	metric	term	estimate	std.error	statistic	p.value	p.format
Relapse	All	shared.muts	(Intercept)	14671.3247846123	3077.2415188576583	4.767687129757247	1.1410509216751272e-5	<0.001
Relapse	All	shared.muts	relapse_timingEarly Relapse	-6245.360315234093	3200.2418648128105	-1.9515275966803836	0.05544348227052612	0.0554
Relapse	All	shared.muts	relapse_timingLate Relapse	-7718.643424831365	2806.2062707166046	-2.750561676587053	0.007756906469450041	0.0078
Relapse	All	shared.muts	is_denovoTRUE	-209.09971281640222	2489.2256713043435	-0.08400191080579483	0.9333212710257872	0.9333
Relapse	All	unique_muts_percent	(Intercept)	10.326227208976167	8.237799204350834	1.2535177118085519	0.21464935397049867	0.215
Relapse	All	unique_muts_percent	relapse_timingEarly Relapse	21.969237961664334	8.567072076120866	2.5643811288689324	0.012732057611241443	0.013
Relapse	All	unique_muts_percent	relapse_timingLate Relapse	45.377653108929415	7.51223576131103	6.040499067219123	9.05699599389575e-8	<0.001
Relapse	All	unique_muts_percent	is_denovoTRUE	-1.101636278634882	6.663676259682336	-0.1653195977271858	0.8692217847833871	0.869
Relapse	All	unique_mutations	(Intercept)	2433.6461297001333	1721.223530330871	1.413904752529332	0.16231261614612583	0.16
Relapse	All	unique_mutations	relapse_timingEarly Relapse	1862.5862218660259	1790.022514225849	1.040537874280067	0.3020669737203918	0.3
Relapse	All	unique_mutations	relapse_timingLate Relapse	5482.394376544445	1569.6227398857234	3.4928102385568085	8.797446587816933e-4	<0.001
Relapse	All	unique_mutations	is_denovoTRUE	-1212.6392840446167	1392.3228877215988	-0.8709468864862109	0.38708993494737975	0.39
Relapse	Coding	shared.muts	(Intercept)	136.7143575138213	21.578226289739025	6.335755111569681	2.1819968930236004e-8	<0.001
Relapse	Coding	shared.muts	relapse_timingEarly Relapse	-39.38095158317962	22.261512430819145	-1.7690150974944583	0.08137556274967361	0.081
Relapse	Coding	shared.muts	relapse_timingLate Relapse	-77.98954598760254	19.468264031377565	-4.005983577267317	1.5552501339387935e-4	<0.001
Relapse	Coding	shared.muts	is_denovoTRUE	-3.4286647679678217	17.33828732045049	-0.19775106413905805	0.8438297942875082	0.844
Relapse	Coding	unique_muts_percent	(Intercept)	14.270966661082301	8.571435767711748	1.6649447126280124	0.1005251692582588	0.1005
Relapse	Coding	unique_muts_percent	relapse_timingEarly Relapse	24.2374551851231	8.842854891350326	2.740908392473008	0.007820693695160386	0.0078
Relapse	Coding	unique_muts_percent	relapse_timingLate Relapse	48.4127458535768	7.733303581729375	6.260292944913771	2.966696773638688e-8	<0.001
Relapse	Coding	unique_muts_percent	is_denovoTRUE	-2.5822566594069456	6.887221131796268	-0.3749344779254188	0.708876051451945	0.7089
Relapse	Coding	unique_mutations	(Intercept)	31.397218964650712	19.386272641325352	1.6195593420945629	0.10995593022817897	0.11
Relapse	Coding	unique_mutations	relapse_timingEarly Relapse	30.082191321829445	20.000149391209902	1.5040983311379972	0.13718670981629769	0.14
Relapse	Coding	unique_mutations	relapse_timingLate Relapse	70.03508125314127	17.490644008356902	4.00414537164435	1.565054750553911e-4	<0.001
Relapse	Coding	unique_mutations	is_denovoTRUE	-18.6163846540459	15.577034025624393	-1.1951174160255245	0.23619268868402749	0.24
Diagnosis	All	shared.muts	(Intercept)	14671.3247846123	3077.2415188576583	4.767687129757247	1.1410509216751272e-5	<0.001
Diagnosis	All	shared.muts	relapse_timingEarly Relapse	-6245.360315234093	3200.2418648128105	-1.9515275966803836	0.05544348227052612	0.0554
Diagnosis	All	shared.muts	relapse_timingLate Relapse	-7718.643424831365	2806.2062707166046	-2.750561676587053	0.007756906469450041	0.0078
Diagnosis	All	shared.muts	is_denovoTRUE	-209.09971281640222	2489.2256713043435	-0.08400191080579483	0.9333212710257872	0.9333
Diagnosis	All	unique_muts_percent	(Intercept)	5.665010351966915	8.371630850817764	0.6766913702858196	0.5010788702356462	0.5
Diagnosis	All	unique_muts_percent	relapse_timingEarly Relapse	12.236438923395461	8.706253104075826	1.4054770493252697	0.1647919119556733	0.16
Diagnosis	All	unique_muts_percent	relapse_timingLate Relapse	46.212836438923404	7.634279872322259	6.053332758531159	8.612293784222363e-8	<0.001
Diagnosis	All	unique_muts_percent	is_denovoTRUE	-0.8089026915114074	6.771934635886124	-0.11944927631534359	0.9052995166454528	0.91
Diagnosis	All	unique_mutations	(Intercept)	279.00644493421794	1727.7717749615467	0.1614833909070123	0.8722294526087393	0.87
Diagnosis	All	unique_mutations	relapse_timingEarly Relapse	619.0463834902829	1796.8324985834968	0.34452091888269937	0.7316020049316041	0.73
Diagnosis	All	unique_mutations	relapse_timingLate Relapse	6063.529352835104	1575.5942325463354	3.8484079387849537	2.8018431950301557e-4	<0.001
Diagnosis	All	unique_mutations	is_denovoTRUE	739.4358511988224	1397.6198585757782	0.5290679340749583	0.5986175781342666	0.6
Diagnosis	Coding	shared.muts	(Intercept)	136.7143575138213	21.578226289739025	6.335755111569681	2.1819968930236004e-8	<0.001
Diagnosis	Coding	shared.muts	relapse_timingEarly Relapse	-39.38095158317962	22.261512430819145	-1.7690150974944583	0.08137556274967361	0.081
Diagnosis	Coding	shared.muts	relapse_timingLate Relapse	-77.98954598760254	19.468264031377565	-4.005983577267317	1.5552501339387935e-4	<0.001
Diagnosis	Coding	shared.muts	is_denovoTRUE	-3.4286647679678217	17.33828732045049	-0.19775106413905805	0.8438297942875082	0.844
Diagnosis	Coding	unique_muts_percent	(Intercept)	7.403635449824102	8.486864851429662	0.8723640094936727	0.38607976953241874	0.39
